,artist_id,artist_name,genres,popularity
167,4LLpKhyESsyAXpc4laK94U,Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",88
168,0siBQaURCli5wn2lqv8WZg,DPR LIVE,"['k-pop', 'korean r&b']",68
169,67lytN32YpUxiSeWlKfHJ3,Yung Lean,"['psychedelic hip hop', 'underground hip hop']",76
170,0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,"['hip hop', 'ohio hip hop', 'rap']",87
171,2Tglaf8nvDzwSQnpSrjLHP,Cuco,"['bedroom pop', 'dream pop']",74
172,5tOWIviwLM1EIqGAbF8VSU,SebastiAn,"['alternative dance', 'electro house', 'electronica', 'filter house', 'new rave']",50
173,3K2Srho6NCF3o9MswGR76H,Bakar,['uk alternative hip hop'],68
174,7wFDo161xYdeaiLz3KIHoM,Gallant,"['alternative r&b', 'chill r&b', 'indie r&b', 'pop', 'r&b']",59
176,4ufh0WuMZh6y4Dmdnklvdl,BAEKHYUN,['k-pop'],68
177,3hOdow4ZPmrby7Q1wfPLEy,Aries,"['emo rap', 'pop rap', 'sad rap']",67
178,0js3wKXyi7RL11sfOykRt1,dj friz,['k-pop'],46
179,29HqjVbJr3vsc2l6BTI4eB,GroovyRoom,"['k-rap', 'korean r&b']",50
180,0tkHE1pQ5ZCgQb8WZ0ba79,Gaeko,"['k-rap', 'korean pop', 'korean r&b']",60
181,2e4G04F77jxVuDYo44TCSm,Loco,"['k-pop', 'k-rap', 'korean r&b']",65
182,0urTpYCsixqZwgNTkPJOJ4,Aaliyah,"['contemporary r&b', 'dance pop', 'hip pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",72
183,10lR6OAc74wnyP1P8Gfsct,JINU,[],29
184,3ytV7vc4ZuwGgwaOuWvkk8,MINO,"['k-pop', 'k-rap']",63
185,4XpUIb8uuNlIWVKmgKZXC0,ZICO,"['k-pop', 'k-rap', 'korean r&b']",65
186,1CBjkH9nDLzLdyjXnwsXyv,Fanxy Child,[],34
